customer_id,customer_since,location,customer_type
C01144,2025-10-05,Morón,individual
C01906,2024-05-27,Merlo,individual
C03680,2020-10-06,CABA,individual
C02758,2025-06-02,Tres de Febrero,individual
C02167,2022-09-07,Tres de Febrero,individual
C02963,2025-01-31,Quilmes,individual
C00654,2021-08-08,Ramos Mejía,individual
C01333,2024-06-14,La Matanza,individual
C01402,2023-05-28,CABA,individual
C04563,2025-06-21,CABA,individual
C00263,2024-12-28,Ituzaingó,individual
C02578,2023-01-05,Lanús,individual
C01171,2024-05-04,Lanús,individual
C03510,2024-04-02,Morón,individual
C00745,2021-02-27,Ramos Mejía,individual
C03153,2020-01-04,CABA,individual
C00939,2023-02-03,CABA,individual
C00027,2020-04-24,Lanús,empresa
C04159,2024-04-23,Lomas de Zamora,individual
C04907,2021-06-22,Lanús,individual
C02520,2022-01-06,Quilmes,individual
C03982,2021-11-15,Quilmes,individual
C01353,2021-03-15,Avellaneda,empresa
C01648,2020-08-19,Tres de Febrero,individual
C02031,2023-09-19,Avellaneda,individual
C01805,2022-07-31,Merlo,individual
C02707,2020-07-14,Ramos Mejía,individual
C01084,2022-09-19,Lanús,individual
C01560,2023-07-15,San Justo,individual
C00444,2022-01-24,CABA,individual
C04394,2021-02-11,Lanús,individual
C00618,2023-12-16,CABA,empresa
C00765,2022-04-09,Ituzaingó,individual
C01349,2024-05-14,CABA,empresa
C02337,2023-09-06,Merlo,individual
C00480,2023-12-13,Ramos Mejía,individual
C04120,2021-05-08,Tres de Febrero,empresa
C00562,2021-05-18,Ituzaingó,empresa
C02017,2022-09-04,Avellaneda,individual
C02592,2020-05-26,Avellaneda,individual
C02458,2025-04-24,Ramos Mejía,empresa
C00601,2022-03-04,Quilmes,individual
C02002,2025-05-19,CABA,individual
C04334,2025-12-23,Lomas de Zamora,empresa
C01101,2025-07-18,Lomas de Zamora,empresa
C01726,2022-09-10,Tres de Febrero,empresa
C03470,2023-08-03,Lomas de Zamora,individual
C02146,2023-07-18,Tres de Febrero,individual
C00617,2021-05-30,Lanús,empresa
C03521,2020-08-27,La Matanza,empresa
C00327,2022-08-11,Ramos Mejía,individual
C03330,2022-11-15,Lanús,individual
C03378,2022-06-07,Ituzaingó,individual
C00886,2025-12-14,San Justo,individual
C02865,2025-09-02,CABA,individual
C02283,2023-11-26,La Matanza,individual
C00227,2024-06-17,Merlo,individual
C03560,2020-02-16,Morón,individual
C03156,2022-08-23,Lomas de Zamora,individual
C04411,2021-03-22,Quilmes,individual
C02572,2021-06-24,San Justo,individual
C02423,2023-10-26,CABA,individual
C01426,2023-11-30,La Matanza,individual
C03522,2025-03-02,Merlo,individual
C01391,2021-04-13,Avellaneda,individual
C02543,2022-02-25,Lomas de Zamora,individual
C00597,2020-07-17,Tres de Febrero,individual
C01209,2022-01-23,Morón,individual
C04244,2025-03-06,Avellaneda,individual
C03807,2024-01-31,Ramos Mejía,empresa
C04136,2022-09-08,Avellaneda,individual
C03687,2025-12-22,Tres de Febrero,empresa
C02250,2021-08-11,Morón,individual
C04425,2024-05-24,Merlo,individual
C01753,2021-01-08,Quilmes,empresa
C01695,2022-12-22,Morón,individual
C03908,2023-04-27,Ramos Mejía,empresa
C04474,2022-12-26,Ramos Mejía,individual
C02754,2021-03-17,Avellaneda,individual
C04376,2023-12-06,Merlo,individual
C03783,2023-11-20,Lomas de Zamora,individual
C02765,2024-04-25,Morón,individual
C04419,2023-05-02,Tres de Febrero,individual
C02026,2024-11-02,Ituzaingó,individual
C04621,2021-11-16,Merlo,individual
C03075,2025-01-03,Avellaneda,individual
C01990,2025-03-13,Tres de Febrero,individual
C04637,2022-12-06,Tres de Febrero,individual
C00104,2025-07-07,Morón,empresa
C03767,2020-01-23,La Matanza,individual
C04409,2020-10-11,Ramos Mejía,individual
C02012,2024-05-06,La Matanza,individual
C03105,2022-09-17,La Matanza,individual
C02907,2020-02-14,Tres de Febrero,individual
C04554,2025-06-03,CABA,individual
C04549,2024-10-10,Ramos Mejía,individual
C00763,2024-01-17,Tres de Febrero,individual
C04535,2020-04-01,Quilmes,individual
C03718,2023-01-05,La Matanza,individual
C00980,2020-07-03,CABA,individual
C04830,2021-12-15,CABA,individual
C01864,2022-08-09,Lomas de Zamora,individual
C00373,2021-06-06,Morón,individual
C00101,2024-11-30,Ituzaingó,individual
C02069,2023-10-02,Tres de Febrero,individual
C00440,2020-05-24,Lomas de Zamora,individual
C03410,2024-03-26,Lomas de Zamora,individual
C03513,2023-08-17,Tres de Febrero,individual
C01703,2023-06-26,CABA,individual
C01283,2025-12-29,Ituzaingó,individual
C02361,2025-09-07,Lanús,individual
C04832,2022-10-25,Ituzaingó,individual
C01166,2025-01-28,Avellaneda,empresa
C03598,2025-10-24,Avellaneda,individual
C03587,2023-10-16,Ituzaingó,individual
C02052,2023-02-02,Lomas de Zamora,individual
C04810,2021-05-27,Ituzaingó,individual
C03623,2022-05-20,La Matanza,individual
C03346,2021-06-11,Ramos Mejía,individual
C04059,2024-04-22,Lanús,individual
C00722,2025-02-18,Lomas de Zamora,empresa
C04216,2023-09-26,Ituzaingó,empresa
C04084,2025-08-05,Morón,individual
C03590,2022-02-20,Avellaneda,individual
C01298,2023-04-18,Avellaneda,individual
C00930,2023-04-23,Merlo,individual
C02240,2021-05-08,CABA,individual
C01562,2022-11-03,San Justo,individual
C03400,2022-09-03,CABA,individual
C04809,2021-12-15,Ituzaingó,individual
C02828,2024-07-02,La Matanza,individual
C01957,2023-06-23,Ituzaingó,individual
C03875,2024-08-30,Merlo,individual
C04835,2020-01-25,Avellaneda,individual
C01181,2024-12-07,Ituzaingó,individual
C02774,2022-03-30,Lanús,individual
C04372,2020-02-18,Morón,individual
C01924,2021-11-03,Tres de Febrero,individual
C00824,2025-03-26,Quilmes,empresa
C00460,2023-07-10,Tres de Febrero,individual
C01973,2021-09-26,San Justo,empresa
C02092,2021-02-11,Lanús,individual
C02831,2021-10-07,Lomas de Zamora,individual
C03152,2021-09-19,Lomas de Zamora,individual
C02419,2021-07-11,Lomas de Zamora,individual
C00402,2024-11-14,Ramos Mejía,individual
C02054,2023-10-21,Ituzaingó,individual
C03612,2021-10-28,San Justo,individual
C03404,2024-12-08,Ramos Mejía,individual
C02233,2021-11-22,Merlo,individual
C02775,2024-03-31,Avellaneda,empresa
C03256,2023-11-30,Ramos Mejía,individual
C03726,2021-10-05,Lomas de Zamora,individual
C01916,2021-01-14,Quilmes,individual
C03804,2025-03-31,Avellaneda,individual
C02494,2025-03-06,Lomas de Zamora,individual
C03717,2024-06-30,Quilmes,individual
C00812,2024-07-31,Ituzaingó,individual
C03036,2023-11-07,San Justo,individual
C03010,2020-12-11,Ramos Mejía,individual
C01001,2021-10-02,Lomas de Zamora,individual
C02733,2021-04-13,CABA,individual
C04804,2020-01-21,La Matanza,individual
C01186,2022-03-17,Avellaneda,individual
C02935,2020-03-15,CABA,individual
C03449,2025-01-07,Lanús,individual
C03703,2025-12-16,Morón,individual
C00256,2021-10-06,La Matanza,individual
C03634,2022-01-28,Quilmes,individual
C04796,2022-03-04,La Matanza,individual
C04517,2025-10-20,San Justo,individual
C03716,2022-04-12,Ramos Mejía,individual
C03067,2023-02-16,Avellaneda,individual
C03538,2020-06-22,CABA,individual
C04601,2020-07-13,Morón,individual
C03465,2023-11-10,Avellaneda,individual
C01268,2020-09-28,CABA,empresa
C04561,2025-12-23,Ituzaingó,empresa
C02532,2024-01-21,Ramos Mejía,individual
C03284,2021-09-07,San Justo,individual
C03440,2022-02-20,CABA,individual
C04650,2020-12-24,La Matanza,individual
C00669,2022-10-03,Quilmes,empresa
C04198,2023-05-01,CABA,empresa
C03987,2024-03-11,Ramos Mejía,individual
C00449,2023-09-06,San Justo,individual
C02094,2020-07-15,Quilmes,individual
C03115,2021-06-25,Ituzaingó,empresa
C00347,2022-06-12,Merlo,individual
C04698,2023-01-24,Lanús,individual
C02661,2022-01-04,Quilmes,individual
C00868,2025-08-23,Ituzaingó,individual
C01816,2023-08-09,Ramos Mejía,individual
C02863,2022-07-15,Avellaneda,individual
C01422,2020-08-13,Avellaneda,individual
C03801,2025-02-02,San Justo,individual
C02590,2020-01-24,Ramos Mejía,individual
C04845,2020-06-19,Ituzaingó,individual
C03021,2020-11-27,San Justo,empresa
C04541,2024-04-08,Morón,individual
C00507,2022-02-22,Merlo,individual
C01414,2020-11-14,Avellaneda,individual
C01301,2023-03-16,Lomas de Zamora,individual
C04898,2020-12-26,Ituzaingó,individual
C03167,2024-11-16,Tres de Febrero,individual
C02866,2022-04-18,Merlo,individual
C02537,2020-01-09,Lanús,individual
C04313,2020-01-07,Quilmes,individual
C01755,2022-05-07,La Matanza,individual
C02424,2020-11-24,La Matanza,empresa
C01264,2022-01-01,Lanús,individual
C01946,2020-03-06,Ituzaingó,individual
C02536,2025-04-12,CABA,individual
C02309,2025-02-20,Quilmes,individual
C04954,2022-09-08,Lanús,individual
