transaction_id,customer_id,product_id,date,quantity,unit_price,discount,total_amount,product_category,channel,payment_method
T00000001,C01144,P0053,2021-01-01,3,11556,2122.48,32545.52,repuesto,telefono,efectivo
T00000002,C01906,P0259,2021-01-01,1,13331,312.26,13018.74,repuesto,telefono,efectivo
T00000003,C03680,P0143,2021-01-01,5,192700,101051.84,862448.16,repuesto,concesionario,transferencia
T00000004,C02758,P0053,2021-01-01,3,94194,10983.93,271598.07,repuesto,concesionario,tarjeta
T00000005,C02167,P0023,2021-01-01,1,131082,11271.6,119810.4,service,telefono,tarjeta
T00000006,C02963,P0296,2021-01-01,1,104230,14384.8,89845.2,repuesto,concesionario,efectivo
T00000007,C00654,P0120,2021-01-02,1,48587988,9390458.82,39197529.18,auto,concesionario,tarjeta
T00000008,C01333,P0190,2021-01-02,1,103320,21545.07,81774.93,service,online,transferencia
T00000009,C01402,P0274,2021-01-02,1,188977,28777.94,160199.06,repuesto,telefono,transferencia
T00000010,C04563,P0113,2021-01-02,1,69735,4706.2,65028.8,service,telefono,financiacion
T00000011,C00263,P0162,2021-01-02,1,456847,6388.77,450458.23,reparacion,online,financiacion
T00000012,C02578,P0109,2021-01-02,1,139686,32927.82,106758.18,service,telefono,tarjeta
T00000013,C01171,P0136,2021-01-02,1,139871,22479.08,117391.92,service,concesionario,transferencia
T00000014,C03510,P0299,2021-01-03,3,146289,81959.93,356907.07,repuesto,online,financiacion
T00000015,C00745,P0025,2021-01-03,1,38131,4857.19,33273.81,service,concesionario,transferencia
T00000016,C03153,P0196,2021-01-03,4,183384,109371.87,624164.13,repuesto,telefono,tarjeta
T00000017,C00939,P0275,2021-01-03,1,150024,25514.71,124509.29,repuesto,online,financiacion
T00000018,C00027,P0135,2021-01-03,1,76985,3043.94,73941.06,service,telefono,transferencia
T00000019,C04159,P0102,2021-01-03,3,32894,20764.4,77917.6,repuesto,concesionario,financiacion
T00000020,C04907,P0166,2021-01-04,5,146394,168077.42,563892.58,repuesto,online,efectivo
T00000021,C02520,P0123,2021-01-04,1,67576,14845.13,52730.87,service,concesionario,transferencia
T00000022,C03982,P0036,2021-01-04,1,91291,1954.85,89336.15,reparacion,telefono,transferencia
T00000023,C01353,P0136,2021-01-04,1,82296,19480.46,62815.54,service,telefono,tarjeta
T00000024,C01648,P0160,2021-01-04,1,332746,62827.87,269918.13,reparacion,online,financiacion
T00000025,C02031,P0116,2021-01-04,1,87839,9914.52,77924.48,service,concesionario,financiacion
T00000026,C01805,P0004,2021-01-04,1,92346088,5312548.84,87033539.16,auto,concesionario,efectivo
T00000027,C02707,P0037,2021-01-05,1,138675,1089.05,137585.95,service,telefono,transferencia
T00000028,C01084,P0293,2021-01-05,1,83624,4478.83,79145.17,service,telefono,tarjeta
T00000029,C01560,P0049,2021-01-05,1,81993,16552.28,65440.72,service,concesionario,tarjeta
T00000030,C00444,P0051,2021-01-05,1,73883,8626.3,65256.7,service,concesionario,tarjeta
T00000031,C04394,P0230,2021-01-05,2,33644,3222.93,64065.07,repuesto,concesionario,tarjeta
T00000032,C00618,P0227,2021-01-05,1,80637,5035.91,75601.09,service,telefono,efectivo
T00000033,C00765,P0122,2021-01-05,1,90855,18989.32,71865.68,service,concesionario,tarjeta
T00000034,C01349,P0195,2021-01-06,4,61032,55077.89,189050.11,repuesto,concesionario,tarjeta
T00000035,C02337,P0217,2021-01-06,1,122769,24097.39,98671.61,service,telefono,tarjeta
T00000036,C00480,P0297,2021-01-06,1,58890,3205.1,55684.9,service,telefono,efectivo
T00000037,C04120,P0272,2021-01-06,1,19985,2918.7,17066.3,repuesto,concesionario,efectivo
T00000038,C00562,P0035,2021-01-06,1,92001,19581.09,72419.91,reparacion,telefono,transferencia
T00000039,C02017,P0297,2021-01-06,1,143416,31920.36,111495.64,service,telefono,efectivo
T00000040,C02592,P0134,2021-01-07,5,114897,81178.6,493306.4,repuesto,concesionario,financiacion
T00000041,C02458,P0235,2021-01-07,1,71876,2351.75,69524.25,service,online,efectivo
T00000042,C00601,P0276,2021-01-07,1,93563727,23299624.03,70264102.97,auto,concesionario,financiacion
T00000043,C02002,P0190,2021-01-07,1,65745,14478.1,51266.9,service,online,transferencia
T00000044,C04334,P0005,2021-01-07,1,91200,16040.71,75159.29,service,telefono,financiacion
T00000045,C01101,P0136,2021-01-07,1,104309,24484.71,79824.29,reparacion,concesionario,efectivo
T00000046,C01726,P0176,2021-01-07,3,45749,9667.55,127579.45,repuesto,concesionario,financiacion
T00000047,C03470,P0142,2021-01-07,1,70829,1634.35,69194.65,repuesto,concesionario,efectivo
T00000048,C02146,P0083,2021-01-07,1,37146,5916.55,31229.45,service,telefono,tarjeta
T00000049,C00617,P0077,2021-01-07,5,117115,1415.58,584159.42,repuesto,telefono,efectivo
T00000050,C03521,P0066,2021-01-07,1,355402,49092.13,306309.87,reparacion,concesionario,financiacion
T00000051,C00327,P0184,2021-01-08,1,142301,28322.25,113978.75,service,concesionario,transferencia
T00000052,C03330,P0080,2021-01-08,5,97714,107990.42,380579.58,repuesto,concesionario,transferencia
T00000053,C03378,P0013,2021-01-08,1,475077,21028.38,454048.62,reparacion,concesionario,financiacion
T00000054,C00886,P0196,2021-01-08,2,112928,15064.92,210791.08,repuesto,concesionario,tarjeta
T00000055,C02865,P0157,2021-01-09,1,127031,29167.97,97863.03,service,concesionario,transferencia
T00000056,C02283,P0036,2021-01-09,1,43921441,4375299.99,39546141.01,auto,online,financiacion
T00000057,C00227,P0060,2021-01-09,5,109773,45439.14,503425.86,repuesto,online,transferencia
T00000058,C03560,P0177,2021-01-09,1,74590,2021.44,72568.56,repuesto,telefono,financiacion
T00000059,C03156,P0296,2021-01-09,1,149005,19051.15,129953.85,service,concesionario,financiacion
T00000060,C04411,P0101,2021-01-09,1,76526649,32356.96,76494292.04,auto,online,tarjeta
T00000061,C02572,P0064,2021-01-10,1,107062,24644.89,82417.11,service,telefono,financiacion
T00000062,C02423,P0284,2021-01-10,4,179821,58654.54,660629.46,repuesto,concesionario,transferencia
T00000063,C01426,P0292,2021-01-10,1,143255,13578.61,129676.39,service,online,tarjeta
T00000064,C03522,P0297,2021-01-10,3,5106,1098.74,14219.26,repuesto,telefono,financiacion
T00000065,C01391,P0044,2021-01-10,2,120909,30902.77,210915.23,repuesto,online,financiacion
T00000066,C02543,P0116,2021-01-10,1,144780,27187.44,117592.56,service,concesionario,transferencia
T00000067,C00597,P0234,2021-01-11,1,50862209,12511289.91,38350919.09,auto,online,transferencia
T00000068,C01209,P0003,2021-01-11,4,105657,42226.12,380401.88,repuesto,concesionario,tarjeta
T00000069,C04244,P0238,2021-01-11,1,125396,30031.28,95364.72,service,concesionario,transferencia
T00000070,C03807,P0272,2021-01-11,1,113626,12966.48,100659.52,reparacion,telefono,financiacion
T00000071,C04136,P0219,2021-01-11,1,282035,43197.35,238837.65,reparacion,telefono,tarjeta
T00000072,C03687,P0133,2021-01-11,1,439889,94740.53,345148.47,reparacion,concesionario,financiacion
T00000073,C02250,P0226,2021-01-11,4,141655,88782.05,477837.95,repuesto,concesionario,financiacion
T00000074,C04425,P0042,2021-01-12,1,64020,5116.95,58903.05,service,concesionario,transferencia
T00000075,C01753,P0033,2021-01-12,1,110957,4238.7,106718.3,service,online,tarjeta
T00000076,C01695,P0216,2021-01-12,1,81069,8426.6,72642.4,service,online,efectivo
T00000077,C03908,P0004,2021-01-12,1,451392,64965.5,386426.5,reparacion,online,financiacion
T00000078,C04474,P0113,2021-01-12,5,114843,107308.68,466906.32,repuesto,online,transferencia
T00000079,C02754,P0208,2021-01-12,1,83654,607.01,83046.99,service,telefono,transferencia
T00000080,C04376,P0014,2021-01-12,1,116913,28664.79,88248.21,reparacion,online,efectivo
T00000081,C03783,P0094,2021-01-12,1,76179,2584.36,73594.64,service,concesionario,financiacion
T00000082,C02765,P0195,2021-01-12,1,47742,5427.06,42314.94,service,online,tarjeta
T00000083,C04419,P0027,2021-01-12,1,30735,3613.72,27121.28,service,online,transferencia
T00000084,C02026,P0103,2021-01-12,1,175853,33158.54,142694.46,repuesto,concesionario,transferencia
T00000085,C04621,P0112,2021-01-13,1,82070,13735.62,68334.38,service,online,financiacion
T00000086,C00939,P0084,2021-01-13,5,48984,37181.76,207738.24,repuesto,online,efectivo
T00000087,C03075,P0204,2021-01-13,5,86777,73472.71,360412.29,repuesto,telefono,transferencia
T00000088,C01990,P0053,2021-01-13,1,110520,22948.69,87571.31,service,telefono,financiacion
T00000089,C04637,P0022,2021-01-14,1,364788,73461.73,291326.27,reparacion,online,tarjeta
T00000090,C00104,P0216,2021-01-14,5,23076,18678.39,96701.61,repuesto,online,efectivo
T00000091,C03767,P0079,2021-01-14,1,67472,10721.05,56750.95,service,online,transferencia
T00000092,C04409,P0248,2021-01-14,3,175513,81075.47,445463.53,repuesto,online,tarjeta
T00000093,C02012,P0045,2021-01-14,1,360627,24197.67,336429.33,reparacion,online,tarjeta
T00000094,C03105,P0173,2021-01-14,1,80910,11526.63,69383.37,service,concesionario,tarjeta
T00000095,C02907,P0133,2021-01-14,1,145336,17714.64,127621.36,reparacion,online,financiacion
T00000096,C04554,P0006,2021-01-14,1,417622,91888.05,325733.95,reparacion,telefono,transferencia
T00000097,C04549,P0124,2021-01-15,1,114381,11621.91,102759.09,service,telefono,tarjeta
T00000098,C00763,P0151,2021-01-15,4,133665,105987.37,428672.63,repuesto,concesionario,tarjeta
T00000099,C04535,P0272,2021-01-15,5,85270,39332.97,387017.03,repuesto,online,tarjeta
T00000100,C03718,P0139,2021-01-15,1,338562,27998.34,310563.66,reparacion,online,financiacion
T00000101,C00980,P0275,2021-01-15,1,114540,5514.65,109025.35,service,telefono,transferencia
T00000102,C04830,P0269,2021-01-15,1,116810,14139.81,102670.19,service,telefono,financiacion
T00000103,C01864,P0185,2021-01-15,1,486537,23611.35,462925.65,reparacion,concesionario,financiacion
T00000104,C00373,P0028,2021-01-15,1,89690398,2838319.01,86852078.99,auto,telefono,financiacion
T00000105,C00101,P0294,2021-01-15,4,38103,3908.9,148503.1,repuesto,online,tarjeta
T00000106,C02069,P0245,2021-01-15,2,94314,45529.97,143098.03,repuesto,concesionario,efectivo
T00000107,C00440,P0078,2021-01-15,1,29710,4285.82,25424.18,service,concesionario,financiacion
T00000108,C03410,P0116,2021-01-15,1,52530,1555.57,50974.43,service,telefono,tarjeta
T00000109,C03513,P0157,2021-01-16,3,121056,78096.25,285071.75,repuesto,telefono,efectivo
T00000110,C01703,P0109,2021-01-16,1,199009,47144.74,151864.26,repuesto,online,efectivo
T00000111,C01283,P0002,2021-01-16,1,42782,5903.83,36878.17,service,online,tarjeta
T00000112,C02361,P0145,2021-01-16,3,128184,3137.93,381414.07,repuesto,telefono,tarjeta
T00000113,C04832,P0102,2021-01-16,1,50595,11686.32,38908.68,service,online,efectivo
T00000114,C01166,P0037,2021-01-17,2,174773,79382.9,270163.1,repuesto,concesionario,transferencia
T00000115,C03598,P0064,2021-01-17,5,160987,185375.03,619559.97,repuesto,online,financiacion
T00000116,C03587,P0042,2021-01-17,5,76367,51545.96,330289.04,repuesto,telefono,efectivo
T00000117,C02052,P0014,2021-01-17,1,435107,35061.09,400045.91,reparacion,concesionario,transferencia
T00000118,C04810,P0011,2021-01-17,1,488283,105043.94,383239.06,reparacion,telefono,financiacion
T00000119,C03623,P0143,2021-01-17,4,50925,26428.23,177271.77,repuesto,concesionario,tarjeta
T00000120,C03346,P0171,2021-01-17,1,133902,15733.83,118168.17,repuesto,online,efectivo
T00000121,C04059,P0148,2021-01-18,1,222912,22940.16,199971.84,reparacion,telefono,tarjeta
T00000122,C00722,P0162,2021-01-18,1,338409,3104.66,335304.34,reparacion,online,financiacion
T00000123,C04216,P0001,2021-01-18,1,121259,12252.47,109006.53,service,telefono,tarjeta
T00000124,C04084,P0227,2021-01-18,1,44586,5778.78,38807.22,service,concesionario,transferencia
T00000125,C03590,P0249,2021-01-18,1,37172,8620.86,28551.14,service,concesionario,efectivo
T00000126,C01298,P0160,2021-01-18,1,369224,73781.45,295442.55,reparacion,telefono,efectivo
T00000127,C00930,P0237,2021-01-18,2,29434,14603.05,44264.95,repuesto,concesionario,transferencia
T00000128,C02240,P0213,2021-01-18,3,192853,73603.12,504955.88,repuesto,online,tarjeta
T00000129,C01562,P0261,2021-01-19,1,92255,3335.99,88919.01,service,telefono,transferencia
T00000130,C03400,P0175,2021-01-19,1,194833,37635.65,157197.35,reparacion,telefono,financiacion
T00000131,C04809,P0297,2021-01-19,1,198289,35991.98,162297.02,reparacion,telefono,tarjeta
T00000132,C02828,P0171,2021-01-19,1,284119,38255.24,245863.76,reparacion,telefono,tarjeta
T00000133,C01957,P0293,2021-01-19,2,89352,43817.09,134886.91,repuesto,online,transferencia
T00000134,C03875,P0196,2021-01-19,1,265364,2895.61,262468.39,reparacion,online,transferencia
T00000135,C04835,P0170,2021-01-20,2,14704,3692.84,25715.16,repuesto,concesionario,tarjeta
T00000136,C01181,P0210,2021-01-20,1,139333,15916.29,123416.71,service,telefono,transferencia
T00000137,C02774,P0204,2021-01-20,1,122436,29666.35,92769.65,service,telefono,efectivo
T00000138,C04372,P0195,2021-01-20,1,496872,83767.34,413104.66,reparacion,online,tarjeta
T00000139,C01924,P0148,2021-01-20,1,68821,10623.54,58197.46,reparacion,concesionario,efectivo
T00000140,C00824,P0228,2021-01-20,1,32903,6254.61,26648.39,service,concesionario,financiacion
T00000141,C00460,P0151,2021-01-20,1,74112,6010.01,68101.99,reparacion,online,financiacion
T00000142,C04637,P0093,2021-01-20,1,52007,6906.09,45100.91,service,concesionario,transferencia
T00000143,C01973,P0255,2021-01-20,1,134142,12828.81,121313.19,service,telefono,transferencia
T00000144,C02092,P0005,2021-01-20,1,103611,6578.71,97032.29,service,online,financiacion
T00000145,C02831,P0154,2021-01-20,1,46412,5125.39,41286.61,repuesto,telefono,tarjeta
T00000146,C03152,P0248,2021-01-21,3,124756,18640.14,355627.86,repuesto,concesionario,transferencia
T00000147,C02419,P0012,2021-01-21,1,67049,9635.14,57413.86,service,telefono,tarjeta
T00000148,C00402,P0255,2021-01-21,1,94177,20367.36,73809.64,service,online,transferencia
T00000149,C02054,P0071,2021-01-21,2,97358,30989.92,163726.08,repuesto,telefono,efectivo
T00000150,C03612,P0018,2021-01-21,1,388868,3832.54,385035.46,reparacion,telefono,financiacion
T00000151,C03404,P0090,2021-01-21,3,28627,7014.74,78866.26,repuesto,concesionario,transferencia
T00000152,C02233,P0085,2021-01-22,5,100907,63293.26,441241.74,repuesto,online,tarjeta
T00000153,C02775,P0059,2021-01-22,1,204739,38212.45,166526.55,reparacion,online,efectivo
T00000154,C03256,P0286,2021-01-22,1,146681,8273.35,138407.65,service,online,efectivo
T00000155,C03726,P0189,2021-01-22,3,8648,3480.21,22463.79,repuesto,telefono,financiacion
T00000156,C01916,P0242,2021-01-22,3,172391,14008.42,503164.58,repuesto,concesionario,financiacion
T00000157,C03804,P0155,2021-01-22,1,166060,26887.29,139172.71,reparacion,telefono,tarjeta
T00000158,C02494,P0253,2021-01-22,1,25943,6137.22,19805.78,service,concesionario,efectivo
T00000159,C03717,P0190,2021-01-22,1,90457,3067.94,87389.06,service,telefono,tarjeta
T00000160,C00812,P0251,2021-01-23,2,195473,86537.24,304408.76,repuesto,telefono,tarjeta
T00000161,C03036,P0112,2021-01-23,1,196664,1608.53,195055.47,reparacion,online,tarjeta
T00000162,C03010,P0279,2021-01-23,1,498502,45199.93,453302.07,reparacion,telefono,financiacion
T00000163,C01001,P0233,2021-01-23,1,56160,2664.91,53495.09,service,concesionario,transferencia
T00000164,C02733,P0125,2021-01-23,1,161538,2042.59,159495.41,repuesto,concesionario,transferencia
T00000165,C04804,P0111,2021-01-23,1,120290,16666.41,103623.59,service,concesionario,financiacion
T00000166,C01186,P0067,2021-01-23,1,161233,11176.46,150056.54,repuesto,telefono,financiacion
T00000167,C02935,P0122,2021-01-23,1,33816,1114.26,32701.74,repuesto,telefono,financiacion
T00000168,C03449,P0270,2021-01-23,1,53617024,702369.85,52914654.15,auto,concesionario,efectivo
T00000169,C03703,P0258,2021-01-24,5,99906,74138.5,425391.5,repuesto,concesionario,efectivo
T00000170,C00256,P0032,2021-01-24,5,177727,67009.82,821625.18,repuesto,online,tarjeta
T00000171,C03634,P0038,2021-01-24,1,34150,4185.67,29964.33,service,concesionario,financiacion
T00000172,C04796,P0281,2021-01-24,2,22218,3055.15,41380.85,repuesto,telefono,financiacion
T00000173,C03717,P0259,2021-01-24,1,98301,13038.57,85262.43,service,telefono,tarjeta
T00000174,C04517,P0111,2021-01-24,1,111983,3203.11,108779.89,service,online,tarjeta
T00000175,C03716,P0205,2021-01-24,1,266957,22620.04,244336.96,reparacion,online,efectivo
T00000176,C03067,P0079,2021-01-24,1,60963,10136.74,50826.26,service,telefono,tarjeta
T00000177,C03538,P0050,2021-01-24,1,129022,2753.47,126268.53,service,telefono,financiacion
T00000178,C04601,P0288,2021-01-24,1,341698,5123.85,336574.15,reparacion,online,efectivo
T00000179,C03465,P0027,2021-01-24,1,134505,22372.91,112132.09,service,online,financiacion
T00000180,C01268,P0247,2021-01-25,1,95748,12145.93,83602.07,service,concesionario,efectivo
T00000181,C02283,P0294,2021-01-25,1,92910,8537.52,84372.48,service,concesionario,tarjeta
T00000182,C04561,P0014,2021-01-25,1,452355,92554.87,359800.13,reparacion,telefono,financiacion
T00000183,C02532,P0174,2021-01-25,1,54677730,9605493.44,45072236.56,auto,online,efectivo
T00000184,C03284,P0036,2021-01-26,1,38776,5489.92,33286.08,service,concesionario,efectivo
T00000185,C03440,P0233,2021-01-26,1,89531,4815.27,84715.73,service,online,transferencia
T00000186,C04650,P0044,2021-01-26,1,114581,9292.03,105288.97,service,concesionario,transferencia
T00000187,C00669,P0140,2021-01-27,1,100981,1256.27,99724.73,service,online,tarjeta
T00000188,C04198,P0059,2021-01-27,4,120879,33020.13,450495.87,repuesto,online,tarjeta
T00000189,C03987,P0270,2021-01-27,1,108895,18470.94,90424.06,service,telefono,financiacion
